sehirAdikaynak,ilceAdiKaynak,sehirAdiHedef,ilceAdiHedef,mesafe
ADANA,ALADAĞ,ADANA,ALADAĞ,
ADANA,ALADAĞ,ADANA,CEYHAN,88
ADANA,ALADAĞ,ADANA,ÇUKUROVA,85
ADANA,ALADAĞ,ADANA,FEKE,117
ADANA,ALADAĞ,ADANA,İMAMOĞLU,58
ADANA,ALADAĞ,ADANA,KARAİSALI,63
ADANA,ALADAĞ,ADANA,KARATAŞ,143
ADANA,ALADAĞ,ADANA,KOZAN,73
ADANA,ALADAĞ,ADANA,POZANTI,91
ADANA,ALADAĞ,ADANA,SAİMBEYLİ,151
ADANA,ALADAĞ,ADANA,SARIÇAM,74
ADANA,ALADAĞ,ADANA,SEYHAN,98
ADANA,ALADAĞ,ADANA,TUFANBEYLİ,190
ADANA,ALADAĞ,ADANA,YUMURTALIK,124
ADANA,ALADAĞ,ADANA,YÜREĞİR,97
ADANA,ALADAĞ,ADIYAMAN,BESNİ,328
ADANA,ALADAĞ,ADIYAMAN,ÇELİKHAN,374
ADANA,ALADAĞ,ADIYAMAN,GERGER,468
ADANA,ALADAĞ,ADIYAMAN,GÖLBAŞI,300
ADANA,ALADAĞ,ADIYAMAN,KAHTA,402
ADANA,ALADAĞ,ADIYAMAN,MERKEZ,379
ADANA,ALADAĞ,ADIYAMAN,SAMSAT,426
ADANA,ALADAĞ,ADIYAMAN,SİNCİK,446
ADANA,ALADAĞ,ADIYAMAN,TUT,346
ADANA,ALADAĞ,AFYONKARAHİSAR,BAŞMAKÇI,638
ADANA,ALADAĞ,AFYONKARAHİSAR,BAYAT,569
ADANA,ALADAĞ,AFYONKARAHİSAR,BOLVADİN,533
ADANA,ALADAĞ,AFYONKARAHİSAR,ÇAY,516
ADANA,ALADAĞ,AFYONKARAHİSAR,ÇOBANLAR,540
ADANA,ALADAĞ,AFYONKARAHİSAR,DAZKIRI,647
ADANA,ALADAĞ,AFYONKARAHİSAR,DİNAR,614
ADANA,ALADAĞ,AFYONKARAHİSAR,EMİRDAĞ,564
ADANA,ALADAĞ,AFYONKARAHİSAR,EVCİLER,644
ADANA,ALADAĞ,AFYONKARAHİSAR,HOCALAR,662
ADANA,ALADAĞ,AFYONKARAHİSAR,İHSANİYE,598
ADANA,ALADAĞ,AFYONKARAHİSAR,İSCEHİSAR,580
ADANA,ALADAĞ,AFYONKARAHİSAR,KIZILÖREN,627
ADANA,ALADAĞ,AFYONKARAHİSAR,MERKEZ,560
ADANA,ALADAĞ,AFYONKARAHİSAR,SANDIKLI,626
ADANA,ALADAĞ,AFYONKARAHİSAR,SİNANPAŞA,
ADANA,ALADAĞ,AFYONKARAHİSAR,SULTANDAĞI,491
ADANA,ALADAĞ,AFYONKARAHİSAR,ŞUHUT,571
ADANA,ALADAĞ,AĞRI,DİYADİN,1053
ADANA,ALADAĞ,AĞRI,DOĞUBAYAZIT,
ADANA,ALADAĞ,AĞRI,ELEŞKİRT,999
ADANA,ALADAĞ,AĞRI,HAMUR,981
ADANA,ALADAĞ,AĞRI,MERKEZ,1059
ADANA,ALADAĞ,AĞRI,PATNOS,936
ADANA,ALADAĞ,AĞRI,TAŞLIÇAY,1034
ADANA,ALADAĞ,AĞRI,TUTAK,970
ADANA,ALADAĞ,AMASYA,GÖYNÜCEK,470
ADANA,ALADAĞ,AMASYA,GÜMÜŞHACIKÖY,552
ADANA,ALADAĞ,AMASYA,HAMAMÖZÜ,584
ADANA,ALADAĞ,AMASYA,MERKEZ,501
ADANA,ALADAĞ,AMASYA,MERZİFON,533
ADANA,ALADAĞ,AMASYA,SULUOVA,549
ADANA,ALADAĞ,AMASYA,TAŞOVA,538
ADANA,ALADAĞ,ANKARA,AKYURT,
ADANA,ALADAĞ,ANKARA,ALTINDAĞ,477
ADANA,ALADAĞ,ANKARA,AYAŞ,536
ADANA,ALADAĞ,ANKARA,BALA,418
ADANA,ALADAĞ,ANKARA,BEYPAZARI,577
ADANA,ALADAĞ,ANKARA,ÇAMLIDERE,571
ADANA,ALADAĞ,ANKARA,ÇANKAYA,489
ADANA,ALADAĞ,ANKARA,ÇUBUK,536
ADANA,ALADAĞ,ANKARA,ELMADAĞ,483
ADANA,ALADAĞ,ANKARA,ETİMESGUT,486
ADANA,ALADAĞ,ANKARA,EVREN,357
ADANA,ALADAĞ,ANKARA,GÖLBAŞI,459
ADANA,ALADAĞ,ANKARA,GÜDÜL,580
ADANA,ALADAĞ,ANKARA,HAYMANA,472
ADANA,ALADAĞ,ANKARA,KAHRAMANKAZAN,
ADANA,ALADAĞ,ANKARA,KALECİK,450
ADANA,ALADAĞ,ANKARA,KEÇİÖREN,480
ADANA,ALADAĞ,ANKARA,KIZILCAHAMAM,579
ADANA,ALADAĞ,ANKARA,MAMAK,500
ADANA,ALADAĞ,ANKARA,NALLIHAN,635
ADANA,ALADAĞ,ANKARA,POLATLI,512
ADANA,ALADAĞ,ANKARA,PURSAKLAR,492
ADANA,ALADAĞ,ANKARA,SİNCAN,509
ADANA,ALADAĞ,ANKARA,ŞEREFLİKOÇHİSAR,330
ADANA,ALADAĞ,ANKARA,YENİMAHALLE,491
ADANA,ALADAĞ,ANTALYA,AKSEKİ,495
ADANA,ALADAĞ,ANTALYA,AKSU,
ADANA,ALADAĞ,ANTALYA,ALANYA,496
ADANA,ALADAĞ,ANTALYA,DEMRE,
ADANA,ALADAĞ,ANTALYA,DÖŞEMEALTI,655
ADANA,ALADAĞ,ANTALYA,ELMALI,748
ADANA,ALADAĞ,ANTALYA,FİNİKE,755
ADANA,ALADAĞ,ANTALYA,GAZİPAŞA,471
ADANA,ALADAĞ,ANTALYA,GÜNDOĞMUŞ,566
ADANA,ALADAĞ,ANTALYA,İBRADI,
ADANA,ALADAĞ,ANTALYA,KAŞ,829
ADANA,ALADAĞ,ANTALYA,KEMER,686
ADANA,ALADAĞ,ANTALYA,KEPEZ,641
ADANA,ALADAĞ,ANTALYA,KONYAALTI,647
ADANA,ALADAĞ,ANTALYA,KORKUTELİ,700
ADANA,ALADAĞ,ANTALYA,KUMLUCA,738
ADANA,ALADAĞ,ANTALYA,MANAVGAT,564
ADANA,ALADAĞ,ANTALYA,MURATPAŞA,635
ADANA,ALADAĞ,ANTALYA,SERİK,602
ADANA,ALADAĞ,ARTVİN,ARDANUÇ,1057
ADANA,ALADAĞ,ARTVİN,ARHAVİ,1076
ADANA,ALADAĞ,ARTVİN,BORÇKA,1099
ADANA,ALADAĞ,ARTVİN,HOPA,967
